NumberOfRounds,LoseStreakDif,WinStreakDif,LongestWinStreakDif,WinDif,LossDif,TotalRoundDif,TotalTitleBoutDif,KODif,SubDif,HeightDif,ReachDif,AgeDif,label,Gender_MALE,BlueStance_Orthodox,BlueStance_Southpaw,BlueStance_Switch,BlueStance_OpenStance,RedStance_Orthodox,RedStance_Southpaw,RedStance_Switch,RedStance_OpenStance,BetterRank_Red,BetterRank_Blue,BetterRank_neither,FinishRate,WinRatio,ExpPerYear,ReachAdvantageRatio,HeightReachRatio,WinsByDecision,DecisionRate
3,0,0,-3,-7,-3,-23,0,-4,0,-10.16,-12.7,-1,0,1,0,1,0,0,1,0,0,0,1,0,0,-0.4,-0.125,-0.6066066066066065,1.0684931506849316,0.011064278187565946,-3,0.4
3,1,-1,-1,-1,1,0,0,-1,0,2.54,15.24,12,1,1,0,1,0,0,0,1,0,0,0,0,1,-1.0,-1.0,-0.04812834224598929,0.922077922077922,-0.06603255899030558,0,0.0
5,0,-1,-1,-1,0,-1,0,-2,0,10.16,0.0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,-1.0,0.0,-0.03571428571428571,1.0,0.05797101449275355,1,1.0
5,0,0,0,0,0,2,1,-1,0,-7.62,-5.08,-1,0,1,1,0,0,0,1,0,0,0,0,0,1,-0.5,0.0,0.07977207977207978,1.028169014084507,-0.015242137758055274,1,0.5
5,0,1,1,1,0,-1,0,1,1,0.0,-2.54,2,1,1,0,1,0,0,1,0,0,0,0,0,1,1.0,0.0,-0.045925925925925926,1.0147058823529411,0.014279624893435594,-1,-1.0
5,0,0,0,0,0,-4,0,1,1,2.54,5.08,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1.0,0.0,-0.1566951566951567,0.9696969696969698,-0.01609848484848464,-2,-1.0
3,0,-1,-2,-4,-1,-14,0,1,-1,7.62,10.16,3,0,1,1,0,0,0,1,0,0,0,0,0,1,0.8,-0.2142857142857143,-0.4629981024667932,0.9480519480519479,-0.010852161537093341,-4,-0.8
3,0,-1,-1,-1,0,-2,0,0,0,-7.62,-20.32,3,0,1,1,0,0,0,1,0,0,0,0,0,1,0.5,0.0,-0.10200668896321069,1.1290322580645162,0.07511520737327193,-1,-0.5
5,-1,3,-5,-13,-6,-46,-2,-3,-8,5.08,7.62,-12,1,1,0,1,0,0,1,0,0,0,1,0,0,-0.00877192982456132,0.12637362637362637,-0.9347336834208553,0.9620253164556962,-0.011658894070619596,-2,0.008771929824561403
5,0,0,-2,-2,1,7,0,-2,0,5.08,5.08,-6,1,1,1,0,0,0,1,0,0,0,1,0,0,-0.07499999999999996,-0.10606060606060608,0.43645320197044346,0.9714285714285713,0.0012605042016806678,0,0.07500000000000001
