RedFighter,BlueFighter,RedOdds,BlueOdds,RedExpectedValue,BlueExpectedValue,Date,Location,Country,TitleBout,WeightClass,Gender,NumberOfRounds,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueDraws,BlueAvgSigStrLanded,BlueAvgSigStrPct,BlueAvgSubAtt,BlueAvgTDLanded,BlueAvgTDPct,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsByDecisionMajority,BlueWinsByDecisionSplit,BlueWinsByDecisionUnanimous,BlueWinsByKO,BlueWinsBySubmission,BlueWinsByTKODoctorStoppage,BlueWins,BlueStance,BlueHeightCms,BlueReachCms,BlueWeightLbs,RedCurrentLoseStreak,RedCurrentWinStreak,RedDraws,RedAvgSigStrLanded,RedAvgSigStrPct,RedAvgSubAtt,RedAvgTDLanded,RedAvgTDPct,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsByDecisionMajority,RedWinsByDecisionSplit,RedWinsByDecisionUnanimous,RedWinsByKO,RedWinsBySubmission,RedWinsByTKODoctorStoppage,RedWins,RedStance,RedHeightCms,RedReachCms,RedWeightLbs,RedAge,BlueAge,LoseStreakDif,WinStreakDif,LongestWinStreakDif,WinDif,LossDif,TotalRoundDif,TotalTitleBoutDif,KODif,SubDif,HeightDif,ReachDif,AgeDif,SigStrDif,AvgSubAttDif,AvgTDDif,BetterRank,Finish,FinishRound,FinishRoundTime,TotalFightTimeSecs,label
Renan Barao,Luke Sanders,130.0,-150.0,130.0,66.6667,2019-02-17,"Phoenix, Arizona, USA", USA,False,Bantamweight,MALE,3,1,0,0,40.8,0.5,0.2,0.2,0.1,1,3,9,0,0,0,1,0,1,0,2,Southpaw,167.64,170.18,135,3,0,0,54.9333,0.379,0.3333,1.4667,0.282,7,6,46,6,0,0,4,2,3,0,9,Orthodox,167.64,177.8,135,32,33,2,0,-6,-7,3,-37,-6,-2,-2,0.0,-7.62,-1,-14.1333,-0.1333,-1.2667,neither,KO/TKO,2.0,1:01,361.0,1
Israel Adesanya,Anderson Silva,-515.0,410.0,19.4175,410.0,2019-02-09,"Melbourne, Victoria, Australia", Australia,False,Middleweight,MALE,3,0,1,0,33.6364,0.651,0.2727,0.1364,0.136,16,5,55,13,0,0,3,11,3,0,17,Southpaw,187.96,195.58,185,0,4,0,60.25,0.565,0.25,0.0,0.0,4,0,11,0,0,1,1,2,0,0,4,Switch,193.04,203.2,185,29,43,0,-3,12,13,-5,44,13,9,3,-5.08,-7.62,-14,-26.6136,0.0227,0.1364,Red,U-DEC,3.0,5:00,900.0,0
Rani Yahya,Ricky Simon,-115.0,-105.0,86.9565,95.2381,2019-02-09,"Melbourne, Victoria, Australia", Australia,False,Bantamweight,MALE,3,0,2,0,29.5,0.4,0.5,4.5,0.315,2,0,6,0,0,0,1,1,0,0,2,Orthodox,167.64,175.26,135,0,3,0,18.2,0.47,1.4,2.2667,0.357,4,4,36,0,0,1,4,0,6,0,11,Orthodox,167.64,170.18,135,34,26,0,-1,-2,-9,4,-30,0,1,-6,0.0,5.08,8,11.3,-0.9,2.2333,Red,U-DEC,3.0,5:00,900.0,1
Montana De La Rosa,Nadia Kassem,-250.0,210.0,40.0,210.0,2019-02-09,"Melbourne, Victoria, Australia", Australia,False,Women's Flyweight,FEMALE,3,0,1,0,52.0,0.49,6.0,0.0,0.0,1,0,3,0,0,0,1,0,0,0,1,Southpaw,165.1,167.64,125,0,2,0,31.0,0.36,1.0,0.0,0.0,2,0,4,0,0,0,0,0,2,0,2,Orthodox,170.18,172.72,125,23,23,0,-1,-1,-1,0,-1,0,0,-2,-5.08,-5.08,0,21.0,5.0,0.0,Red,SUB,2.0,2:37,457.0,0
Jimmy Crute,Sam Alvey,-145.0,125.0,68.9655,125.0,2019-02-09,"Melbourne, Victoria, Australia", Australia,False,Light Heavyweight,MALE,3,1,0,0,30.4375,0.486,0.0625,0.0625,0.063,4,6,34,0,0,2,2,5,1,0,10,Southpaw,187.96,190.5,205,0,1,0,17.0,0.44,4.0,1.0,1.0,1,0,3,0,0,0,0,0,1,0,1,Orthodox,187.96,187.96,205,22,32,-1,-1,3,9,-6,31,0,5,0,0.0,2.54,-10,13.4375,-3.9375,-0.9375,neither,KO/TKO,1.0,2:49,169.0,0
Devonte Smith,Dong Hyun Ma,-270.0,230.0,37.037,230.0,2019-02-09,"Melbourne, Victoria, Australia", Australia,False,Lightweight,MALE,3,0,3,0,40.6,0.52,0.0,1.2,0.332,3,2,13,0,0,1,1,1,0,0,3,Orthodox,180.34,177.8,155,0,1,0,13.0,0.68,0.0,0.0,0.0,1,0,1,0,0,0,0,1,0,0,1,Orthodox,175.26,193.04,155,25,30,0,2,2,2,-2,12,0,0,0,5.08,-15.24,-5,27.6,0.0,1.2,neither,KO/TKO,1.0,3:53,233.0,0
Shane Young,Austin Arnett,-380.0,315.0,26.3158,315.0,2019-02-09,"Melbourne, Victoria, Australia", Australia,False,Featherweight,MALE,3,0,1,0,43.0,0.437,0.0,0.6667,0.387,1,2,8,0,0,0,1,0,0,0,1,Orthodox,182.88,182.88,145,0,1,0,61.0,0.35,0.0,1.0,0.6,1,1,5,0,0,0,0,1,0,0,1,Orthodox,172.72,182.88,145,25,27,0,0,0,0,-1,3,0,-1,0,10.16,0.0,-2,-18.0,0.0,-0.3333,neither,U-DEC,3.0,5:00,900.0,0
Teruto Ishihara,Kyung Ho Kang,290.0,-350.0,290.0,28.5714,2019-02-09,"Melbourne, Victoria, Australia", Australia,False,Bantamweight,MALE,3,1,0,0,31.3333,0.383,1.1667,2.0,0.592,3,3,16,0,0,1,0,0,2,0,3,Orthodox,175.26,185.42,135,2,0,0,34.75,0.468,0.0,0.375,0.073,2,5,19,0,0,0,1,2,0,0,3,Southpaw,170.18,175.26,135,27,31,1,0,1,0,2,-3,0,-2,2,5.08,10.16,-4,-3.4167,1.1667,1.625,neither,SUB,1.0,3:59,239.0,1
Wuliji Buren,Jonathan Martinez,105.0,-125.0,105.0,80.0,2019-02-09,"Melbourne, Victoria, Australia", Australia,False,Bantamweight,MALE,3,1,0,0,71.0,0.63,0.0,1.0,0.5,0,1,3,0,0,0,0,0,0,0,0,Southpaw,172.72,177.8,135,2,0,0,24.0,0.39,0.0,3.0,0.43,0,2,5,0,0,0,0,0,0,0,0,Orthodox,175.26,175.26,135,29,32,1,0,0,0,1,-2,0,0,0,-2.54,2.54,-3,47.0,0.0,-2.0,neither,U-DEC,3.0,5:00,900.0,1
Raphael Assuncao,Marlon Moraes,130.0,-150.0,130.0,66.6667,2019-02-02,"Fortaleza, Ceara, Brazil", Brazil,False,Bantamweight,MALE,5,0,3,0,25.75,0.475,0.25,0.25,0.125,3,1,8,0,0,1,0,2,0,0,3,Orthodox,167.64,170.18,135,0,4,0,47.1538,0.418,0.1538,1.0,0.254,7,2,35,0,0,3,5,2,1,0,11,Orthodox,165.1,167.64,135,36,30,0,-1,-4,-8,1,-27,0,0,-1,2.54,2.54,6,-21.4038,0.0962,-0.75,Red,SUB,1.0,3:17,197.0,1
Jose Aldo,Renato Moicano,-110.0,-110.0,90.9091,90.9091,2019-02-02,"Fortaleza, Ceara, Brazil", Brazil,False,Featherweight,MALE,3,0,2,0,67.3333,0.453,0.3333,1.0,0.4,3,1,15,0,0,2,1,0,2,0,5,Orthodox,180.34,182.88,145,0,1,0,56.6667,0.425,0.25,1.0,0.198,7,3,43,11,0,0,6,3,0,0,9,Orthodox,170.18,177.8,145,32,29,0,1,-4,-4,2,-28,-11,-3,2,10.16,5.08,3,10.6667,0.0833,0.0,Red,KO/TKO,2.0,0:44,344.0,0
Demian Maia,Lyman Good,-200.0,170.0,50.0,170.0,2019-02-02,"Fortaleza, Ceara, Brazil", Brazil,False,Welterweight,MALE,3,0,1,0,48.0,0.53,0.0,0.3333,0.333,1,1,6,0,0,0,0,2,0,0,2,Orthodox,182.88,187.96,170,3,0,0,22.9286,0.528,0.8571,2.1429,0.362,7,9,78,2,0,1,8,1,9,0,19,Southpaw,185.42,182.88,170,41,33,3,1,-6,-17,8,-72,-2,1,-9,-2.54,5.08,8,25.0714,-0.8571,-1.8095,Red,SUB,1.0,2:38,158.0,0
Charles Oliveira,David Teymur,-120.0,100.0,83.3333,100.0,2019-02-02,"Fortaleza, Ceara, Brazil", Brazil,False,Lightweight,MALE,3,0,5,0,54.6,0.442,0.0,0.8,0.322,5,0,13,0,0,0,3,2,0,0,5,Southpaw,175.26,185.42,155,0,3,0,20.2273,0.484,1.2727,1.3182,0.454,4,9,40,0,0,0,1,0,12,0,13,Orthodox,177.8,187.96,155,29,29,0,2,1,-8,9,-27,0,2,-12,-2.54,-2.54,0,34.3727,-1.2727,-0.5182,neither,SUB,2.0,0:55,355.0,0
Johnny Walker,Justin Ledet,-235.0,195.0,42.5532,195.0,2019-02-02,"Fortaleza, Ceara, Brazil", Brazil,False,Light Heavyweight,MALE,3,1,0,0,41.0,0.375,0.25,0.25,0.25,3,1,10,0,0,1,1,0,1,0,3,Orthodox,193.04,203.2,205,0,1,0,10.0,0.9,0.0,0.0,0.0,1,0,1,0,0,0,0,1,0,0,1,Orthodox,195.58,208.28,205,26,30,-1,-1,2,2,-1,9,0,-1,1,-2.54,-5.08,-4,31.0,0.25,0.25,neither,KO/TKO,1.0,0:15,15.0,0
Thiago Alves,Max Griffin,160.0,-185.0,160.0,54.0541,2019-02-02,"Fortaleza, Ceara, Brazil", Brazil,False,Welterweight,MALE,3,1,0,0,40.2,0.43,0.2,0.2,0.1,1,3,13,0,0,0,1,1,0,0,2,Orthodox,180.34,193.04,170,2,0,0,39.6667,0.45,0.25,0.5417,0.333,7,10,58,1,0,0,5,7,1,1,14,Orthodox,175.26,177.8,170,35,33,1,0,-6,-12,7,-45,-1,-7,-1,5.08,15.24,2,0.5333,-0.05,-0.3417,neither,S-DEC,3.0,5:00,900.0,0
Ricardo Ramos,Said Nurmagomedov,-170.0,150.0,58.8235,150.0,2019-02-02,"Fortaleza, Ceara, Brazil", Brazil,False,Bantamweight,MALE,3,0,1,0,65.0,0.57,0.0,1.0,0.09,1,0,3,0,0,1,0,0,0,0,1,Orthodox,172.72,177.8,135,0,3,0,47.0,0.437,0.6667,1.3333,0.367,3,0,9,0,0,1,1,1,0,0,3,Orthodox,175.26,182.88,135,23,26,0,-2,-2,-2,0,-6,0,-1,0,-2.54,-5.08,-3,18.0,-0.6667,-0.3333,neither,KO/TKO,1.0,2:28,148.0,1
Henry Cejudo,TJ Dillashaw,185.0,-225.0,185.0,44.4444,2019-01-19,"Brooklyn, New York, USA", USA,True,Flyweight,MALE,5,0,4,0,66.9333,0.409,0.8,1.4,0.319,4,3,42,7,0,0,4,7,1,0,12,Orthodox,167.64,170.18,125,0,3,0,46.8889,0.431,0.1111,2.1111,0.509,4,2,26,2,0,2,4,1,0,0,7,Orthodox,162.56,162.56,135,31,32,0,1,0,5,-1,16,5,6,1,5.08,7.62,-1,20.0444,0.6889,-0.7111,Red,KO/TKO,1.0,0:32,32.0,0
Gregor Gillespie,Yancy Medeiros,-470.0,375.0,21.2766,375.0,2019-01-19,"Brooklyn, New York, USA", USA,False,Lightweight,MALE,3,1,0,0,31.5833,0.358,0.3333,0.0833,0.083,3,6,21,0,0,1,0,2,3,0,6,Orthodox,177.8,190.5,155,0,5,0,23.2,0.514,0.6,3.4,0.438,5,0,9,0,0,0,1,2,2,0,5,Orthodox,170.18,180.34,155,32,31,-1,-5,-2,1,-6,12,0,0,1,7.62,10.16,1,8.3833,-0.2667,-3.3167,Red,KO/TKO,2.0,4:59,599.0,0
Joseph Benavidez,Dustin Ortiz,-240.0,200.0,41.6667,200.0,2019-01-19,"Brooklyn, New York, USA", USA,False,Flyweight,MALE,3,0,3,0,35.6923,0.447,0.0769,2.4615,0.281,3,5,34,0,0,3,1,4,0,0,8,Orthodox,165.1,165.1,125,0,1,0,47.3125,0.358,0.25,1.0625,0.216,6,3,40,2,0,1,7,4,1,0,13,Southpaw,162.56,165.1,125,34,30,0,2,-3,-5,-2,-6,-2,0,-1,2.54,0.0,4,-11.6202,-0.1731,1.399,Red,U-DEC,3.0,5:00,900.0,0
Paige VanZant,Rachael Ostovich,-175.0,155.0,57.1429,155.0,2019-01-19,"Brooklyn, New York, USA", USA,False,Women's Flyweight,FEMALE,3,1,0,0,21.5,0.32,1.0,0.5,0.5,1,1,4,0,0,0,0,0,1,0,1,Orthodox,160.02,157.48,125,2,0,0,42.1429,0.47,0.5714,1.1429,0.189,3,3,20,0,0,0,1,2,1,0,4,Orthodox,162.56,165.1,115,24,27,1,0,-2,-3,2,-16,0,-2,0,-2.54,-7.62,-3,-20.6429,0.4286,-0.6429,neither,SUB,2.0,1:50,410.0,0
Glover Teixeira,Karl Roberson,-110.0,-110.0,90.9091,90.9091,2019-01-19,"Brooklyn, New York, USA", USA,False,Light Heavyweight,MALE,3,0,1,0,18.3333,0.62,0.6667,1.0,0.553,1,1,5,0,0,0,1,0,1,0,2,Southpaw,185.42,187.96,205,1,0,0,32.0667,0.451,0.4667,1.3333,0.367,5,5,35,1,0,0,2,4,3,1,10,Orthodox,187.96,193.04,205,39,28,1,1,-4,-8,4,-30,-1,-5,-2,-2.54,-5.08,11,-13.7333,0.2,-0.3333,Red,SUB,1.0,3:21,201.0,0
Alexander Hernandez,Donald Cerrone,-220.0,180.0,45.4545,180.0,2019-01-19,"Brooklyn, New York, USA", USA,False,Lightweight,MALE,3,0,1,0,42.4828,0.5,0.3793,0.6897,0.281,8,8,61,1,0,0,6,9,6,0,21,Orthodox,185.42,185.42,155,0,2,0,23.5,0.545,0.0,2.0,0.2,2,0,4,0,0,0,1,1,0,0,2,Orthodox,175.26,182.88,155,26,35,0,-1,6,19,-8,57,1,8,6,10.16,2.54,-9,18.9828,0.3793,-1.3103,Red,KO/TKO,2.0,3:43,523.0,1
Dennis Bermudez,Te Edwards,105.0,-125.0,105.0,80.0,2019-01-19,"Brooklyn, New York, USA", USA,False,Lightweight,MALE,3,1,0,0,5.0,0.33,0.0,1.0,1.0,0,1,2,0,0,0,0,0,0,0,0,Orthodox,172.72,182.88,155,4,0,0,50.4375,0.454,0.75,2.875,0.389,7,7,39,1,0,2,4,1,2,0,9,Orthodox,167.64,167.64,155,32,28,3,0,-7,-9,6,-37,-1,-1,-2,5.08,15.24,4,-45.4375,-0.75,-1.875,neither,U-DEC,3.0,5:00,900.0,0
Belal Muhammad,Geoff Neal,170.0,-200.0,170.0,50.0,2019-01-19,"Brooklyn, New York, USA", USA,False,Welterweight,MALE,3,0,2,0,36.5,0.51,0.5,0.0,0.0,2,0,3,0,0,0,0,1,1,0,2,Southpaw,180.34,190.5,170,0,4,0,60.0,0.414,0.1429,2.1429,0.383,4,2,19,0,0,1,3,1,0,0,5,Orthodox,180.34,182.88,170,30,28,0,-2,-2,-3,2,-16,0,0,1,0.0,7.62,2,-23.5,0.3571,-2.1429,neither,U-DEC,3.0,5:00,900.0,1
Jon Jones,Alexander Gustafsson,-290.0,245.0,34.4828,245.0,2018-12-29,"Los Angeles, California, USA", USA,True,Light Heavyweight,MALE,5,0,2,0,45.7857,0.394,0.3571,1.2857,0.325,6,4,35,2,0,0,3,5,2,0,10,Orthodox,195.58,200.66,205,1,0,0,62.0,0.574,0.5556,2.0,0.577,13,2,55,11,0,0,7,4,5,0,16,Orthodox,193.04,213.36,205,31,31,1,2,-7,-6,-2,-20,-9,1,-3,2.54,-12.7,0,-16.2143,-0.1984,-0.7143,Red,KO/TKO,3.0,2:02,722.0,0
Carlos Condit,Michael Chiesa,-105.0,-115.0,95.2381,86.9565,2018-12-29,"Los Angeles, California, USA", USA,False,Welterweight,MALE,3,2,0,0,17.5455,0.391,0.7273,1.5455,0.396,3,4,22,1,0,0,2,0,5,0,7,Southpaw,185.42,190.5,170,4,0,0,54.0667,0.379,0.6667,0.4667,0.194,5,8,43,3,0,1,1,4,0,1,7,Orthodox,187.96,190.5,170,34,31,2,0,-2,0,4,-21,-2,-5,5,-2.54,0.0,3,-36.5212,0.0606,1.0788,neither,SUB,2.0,0:56,356.0,1
Ilir Latifi,Corey Anderson,-130.0,110.0,76.9231,110.0,2018-12-29,"Los Angeles, California, USA", USA,False,Light Heavyweight,MALE,3,0,2,0,54.0,0.484,0.0,4.3333,0.53,3,4,31,1,0,0,6,2,0,0,8,Orthodox,190.5,200.66,205,0,2,0,15.3,0.444,0.3,1.0,0.338,3,3,17,0,0,0,2,3,2,0,7,Orthodox,177.8,185.42,205,35,29,0,0,0,1,-1,14,1,-1,-2,12.7,15.24,6,38.7,-0.3,3.3333,Red,U-DEC,3.0,5:00,900.0,1
Chad Mendes,Alexander Volkanovski,-140.0,120.0,71.4286,120.0,2018-12-29,"Los Angeles, California, USA", USA,False,Featherweight,MALE,3,0,5,0,75.6,0.63,0.6,3.2,0.548,5,0,13,0,0,0,3,2,0,0,5,Orthodox,167.64,180.34,145,0,1,0,27.1538,0.578,0.1538,1.8462,0.261,5,4,26,3,0,0,3,6,0,0,9,Orthodox,167.64,167.64,145,33,30,0,4,0,-4,4,-13,-3,-4,0,0.0,12.7,3,48.4462,0.4462,1.3538,Red,KO/TKO,2.0,4:14,554.0,1
Cat Zingano,Megan Anderson,-130.0,120.0,76.9231,120.0,2018-12-29,"Los Angeles, California, USA", USA,False,Women's Featherweight,FEMALE,3,1,0,0,26.0,0.44,0.0,0.0,0.0,0,1,3,0,0,0,0,0,0,0,0,Orthodox,182.88,182.88,145,0,1,0,29.6667,0.513,0.6667,2.1667,0.558,2,3,16,1,0,0,1,2,0,0,3,Southpaw,167.64,172.72,145,36,28,-1,-1,-2,-3,2,-13,-1,-2,0,15.24,10.16,8,-3.6667,-0.6667,-2.1667,neither,KO/TKO,1.0,1:01,61.0,1
Douglas Silva de Andrade,Petr Yan,290.0,-350.0,290.0,28.5714,2018-12-29,"Los Angeles, California, USA", USA,False,Bantamweight,MALE,3,0,2,0,62.5,0.525,0.0,0.0,0.0,2,0,4,0,0,0,1,1,0,0,2,Switch,170.18,170.18,135,0,1,0,52.6,0.344,0.0,0.8,0.466,2,2,14,0,0,0,2,1,0,0,3,Orthodox,170.18,172.72,135,33,25,0,1,0,-1,2,-10,0,0,0,0.0,-2.54,8,9.9,0.0,-0.8,Red,KO/TKO,2.0,5:00,600.0,1
BJ Penn,Ryan Hall,365.0,-460.0,365.0,21.7391,2018-12-29,"Los Angeles, California, USA", USA,False,Lightweight,MALE,3,0,2,0,34.5,0.475,0.5,0.5,0.165,2,0,6,1,0,0,2,0,0,0,2,Southpaw,177.8,180.34,155,6,0,0,37.28,0.535,0.48,1.04,0.329,3,13,73,11,0,0,1,6,4,1,12,Orthodox,175.26,177.8,155,40,33,6,2,-1,-10,13,-67,-10,-7,-4,2.54,2.54,7,-2.78,0.02,-0.54,neither,SUB,1.0,2:46,166.0,1
Nathaniel Wood,Andre Ewell,-120.0,100.0,83.3333,100.0,2018-12-29,"Los Angeles, California, USA", USA,False,Bantamweight,MALE,3,0,1,0,53.0,0.43,0.0,1.0,1.0,1,0,3,0,0,1,0,0,0,0,1,Southpaw,172.72,190.5,135,0,1,0,33.0,0.34,1.0,0.0,0.0,1,0,2,0,0,0,0,0,1,0,1,Orthodox,167.64,175.26,135,25,30,0,0,0,0,0,1,0,0,-1,5.08,15.24,-5,20.0,-1.0,1.0,neither,SUB,3.0,4:12,852.0,0
Curtis Millender,Siyar Bahadurzada,-150.0,130.0,66.6667,130.0,2018-12-29,"Los Angeles, California, USA", USA,False,Welterweight,MALE,3,0,3,0,35.3333,0.492,0.3333,0.8333,0.417,3,2,14,0,0,0,0,3,1,0,4,Orthodox,180.34,185.42,170,0,2,0,42.5,0.42,0.0,0.5,0.5,2,0,5,0,0,0,1,1,0,0,2,Orthodox,187.96,193.04,170,31,34,0,1,1,2,-2,9,0,2,1,-7.62,-7.62,-3,-7.1667,0.3333,0.3333,neither,U-DEC,3.0,5:00,900.0,0
Brian Kelleher,Montel Jackson,155.0,-175.0,155.0,57.1429,2018-12-29,"Los Angeles, California, USA", USA,False,Bantamweight,MALE,3,1,0,0,42.0,0.44,0.0,2.0,1.0,0,1,3,0,0,0,0,0,0,0,0,Southpaw,177.8,190.5,135,1,0,0,47.0,0.422,0.4,0.8,0.348,2,2,11,0,0,0,1,1,1,0,3,Switch,167.64,167.64,135,32,26,0,0,-2,-3,1,-8,0,-1,-1,10.16,22.86,6,-5.0,-0.4,1.2,neither,SUB,1.0,1:40,100.0,1
Kevin Lee,Al Iaquinta,-335.0,275.0,29.8507,275.0,2018-12-15,"Milwaukee, Wisconsin, USA", USA,False,Lightweight,MALE,5,1,0,0,47.8182,0.442,0.2727,0.7273,0.235,5,3,28,2,0,1,3,4,0,0,8,Orthodox,177.8,177.8,155,0,1,0,45.0,0.458,0.8462,2.4615,0.444,5,3,31,1,0,1,3,1,4,1,10,Orthodox,175.26,195.58,170,26,31,-1,-1,0,-2,0,-3,1,2,-4,2.54,-17.78,-5,2.8182,-0.5734,-1.7343,Red,U-DEC,5.0,5:00,1500.0,1
Edson Barboza,Dan Hooker,-105.0,-115.0,95.2381,86.9565,2018-12-15,"Milwaukee, Wisconsin, USA", USA,False,Lightweight,MALE,3,0,4,0,33.5,0.475,0.3,0.3,0.099,4,3,20,0,0,0,0,5,2,0,7,Switch,182.88,190.5,155,2,0,0,41.2105,0.443,0.0526,0.3684,0.193,4,6,48,0,1,1,5,6,0,0,13,Orthodox,180.34,190.5,155,32,28,2,4,0,-6,3,-28,0,-1,2,2.54,0.0,4,-7.7105,0.2474,-0.0684,Red,KO/TKO,3.0,2:19,739.0,0
Rob Font,Sergio Pettis,-165.0,145.0,60.6061,145.0,2018-12-15,"Milwaukee, Wisconsin, USA", USA,False,Bantamweight,MALE,3,1,0,0,54.3333,0.374,0.4167,0.9167,0.273,4,4,37,0,0,1,7,0,0,0,8,Orthodox,167.64,175.26,135,1,0,0,36.375,0.439,0.5,0.625,0.254,2,3,15,0,0,0,0,4,1,0,5,Orthodox,172.72,180.34,135,31,25,0,0,2,3,-1,22,0,-4,-1,-5.08,-5.08,6,17.9583,-0.0833,0.2917,Red,U-DEC,3.0,5:00,900.0,0
Jim Miller,Charles Oliveira,255.0,-310.0,255.0,32.2581,2018-12-15,"Milwaukee, Wisconsin, USA", USA,False,Lightweight,MALE,3,0,2,0,21.1905,0.507,1.2857,1.3333,0.428,4,9,39,0,0,0,1,0,11,0,12,Orthodox,177.8,187.96,155,0,1,0,29.5,0.383,1.3333,1.2,0.437,7,12,70,0,0,2,6,3,7,0,18,Southpaw,172.72,180.34,155,35,29,0,1,-3,-6,3,-31,0,-3,4,5.08,7.62,6,-8.3095,-0.0476,0.1333,neither,SUB,1.0,1:15,75.0,1
Bobby Green,Drakkar Klose,210.0,-250.0,210.0,40.0,2018-12-15,"Milwaukee, Wisconsin, USA", USA,False,Lightweight,MALE,3,0,1,0,54.0,0.52,0.0,1.6667,0.51,1,1,9,0,0,0,2,0,0,0,2,Orthodox,175.26,177.8,155,0,1,0,61.8889,0.476,0.1111,0.6667,0.226,4,4,23,0,0,1,2,1,1,0,5,Orthodox,177.8,180.34,155,32,30,0,0,-3,-3,3,-14,0,-1,-1,-2.54,-2.54,2,-7.8889,-0.1111,1.0,neither,U-DEC,3.0,5:00,900.0,1
Jared Gordon,Joaquim Silva,-115.0,-105.0,86.9565,95.2381,2018-12-15,"Milwaukee, Wisconsin, USA", USA,False,Lightweight,MALE,3,1,0,0,35.0,0.445,0.25,0.0,0.0,3,1,10,0,0,2,0,1,0,0,3,Southpaw,172.72,175.26,155,1,0,0,58.6667,0.5,0.0,2.0,0.313,2,1,6,0,0,0,1,1,0,0,2,Orthodox,175.26,172.72,155,30,29,0,0,1,1,0,4,0,0,0,-2.54,2.54,1,-23.6667,0.25,-2.0,neither,KO/TKO,3.0,2:39,759.0,1
Gerald Meerschaert,Jack Hermansson,130.0,-150.0,130.0,66.6667,2018-12-15,"Milwaukee, Wisconsin, USA", USA,False,Middleweight,MALE,3,0,1,0,33.8333,0.52,0.1667,1.0,0.527,2,2,11,0,0,0,1,3,0,0,4,Orthodox,185.42,195.58,185,0,2,0,23.8,0.466,0.8,1.2,0.224,2,1,8,0,0,0,0,1,3,0,4,Southpaw,185.42,195.58,185,30,30,0,-1,0,0,-1,3,0,2,-3,0.0,0.0,0,10.0333,-0.6333,-0.2,neither,SUB,1.0,4:25,265.0,1
Trevor Smith,Zak Cummings,270.0,-330.0,270.0,30.303,2018-12-15,"Milwaukee, Wisconsin, USA", USA,False,Middleweight,MALE,3,1,0,0,25.8889,0.333,0.6667,0.7778,0.243,2,3,19,0,0,0,2,1,3,0,6,Southpaw,182.88,190.5,185,1,0,0,42.5,0.552,0.6,1.6,0.255,2,5,26,0,0,1,4,0,0,0,5,Orthodox,190.5,190.5,185,37,34,0,0,0,1,2,-7,0,1,3,-7.62,0.0,3,-16.6111,0.0667,-0.8222,neither,U-DEC,3.0,5:00,900.0,1
Adam Milstead,Mike Rodriguez,-110.0,-110.0,90.9091,90.9091,2018-12-15,"Milwaukee, Wisconsin, USA", USA,False,Light Heavyweight,MALE,3,1,0,0,40.0,0.6,0.0,0.0,0.0,0,1,3,0,0,0,0,0,0,0,0,Southpaw,193.04,208.28,205,2,0,0,39.0,0.643,0.0,0.0,0.0,1,2,7,0,0,0,0,1,0,0,1,Orthodox,190.5,193.04,205,31,30,1,0,-1,-1,1,-4,0,-1,0,2.54,15.24,1,1.0,0.0,0.0,neither,KO/TKO,1.0,2:59,179.0,1
Max Holloway,Brian Ortega,-110.0,-110.0,90.9091,90.9091,2018-12-08,"Toronto, Ontario, Canada", Canada,True,Featherweight,MALE,5,0,6,0,35.5714,0.347,1.1429,0.1429,0.047,6,1,16,0,0,0,0,3,3,0,6,Switch,172.72,175.26,145,0,12,0,74.2778,0.432,0.3889,0.2222,0.167,12,3,46,3,0,1,4,8,2,0,15,Orthodox,180.34,175.26,155,27,27,0,-6,-6,-9,2,-30,-3,-5,1,-7.62,0.0,0,-38.7063,0.754,-0.0794,Red,KO/TKO,4.0,5:00,1200.0,0
Valentina Shevchenko,Joanna Jedrzejczyk,-300.0,250.0,33.3333,250.0,2018-12-08,"Toronto, Ontario, Canada", Canada,True,Women's Flyweight,FEMALE,5,0,1,0,115.1818,0.425,0.0,0.1818,0.136,8,2,40,8,0,1,6,2,0,0,9,Orthodox,167.64,165.1,125,0,1,0,54.5,0.595,0.5,2.0,0.643,2,2,20,1,0,1,1,0,2,0,4,Southpaw,165.1,167.64,125,30,31,0,0,6,5,0,20,7,2,-2,2.54,-2.54,-1,60.6818,-0.5,-1.8182,Red,U-DEC,5.0,5:00,1500.0,0
Alex Oliveira,Gunnar Nelson,135.0,-155.0,135.0,64.5161,2018-12-08,"Toronto, Ontario, Canada", Canada,False,Welterweight,MALE,3,1,0,0,18.3,0.63,0.7,1.0,0.625,4,3,21,0,0,0,1,0,6,0,7,Switch,180.34,182.88,170,0,2,0,26.1538,0.507,0.5385,2.0,0.288,3,4,28,0,0,0,2,4,3,0,9,Orthodox,180.34,193.04,170,30,30,-1,-2,1,-2,1,-7,0,-4,3,0.0,-10.16,0,-7.8538,0.1615,-1.0,Red,SUB,2.0,4:17,557.0,1
